year,country,Crecimiento PIB anual (%),Exportaciones (% PIB),Gasto en educación (% PIB),Gasto en salud (% PIB),Gasto público (% PIB),Inflación anual (%),PIB per cápita (PPA),Población Total,Pobreza ($6.85/día),Pobreza Extrema ($2.15/día),Pobreza Línea Nacional,Pobreza Moderada ($3.65/día),Pobreza Multidimensional,Privación Agua Potable,Privación Educación - Logro,Privación Educación - Matrícula,Privación Electricidad,Privación Pobreza Monetaria,Privación Saneamiento,Tasa Desempleo
1969,PER,3.51445891251396,17.4651066535654,,,,6.23615806078061,,13166767.0,,,,,,,,,,,,
1969,PRY,4.70115140770775,13.5776753741458,,,,2.24684753574717,,2334992.0,,,,,,,,,,,,
1969,URY,5.8647406331108,13.3977066988533,,,,20.9666666659998,,2773974.0,,,,,,,,,,,,
1969,VEN,0.706036796156042,24.4625456431087,,,,,,11040280.0,,,,,,,,,,,,
1970,ARG,3.04564331917115,5.601566676004,1.4580899477005,,,,,23878327.0,,,,,,,,,,,,
1970,BOL,5.23102930423347,24.5985763946367,,,,3.95550921099769,,4590010.0,,,,,,,,,,,,
1970,BRA,10.4,7.02942560498826,,,,,,95375651.0,,,,,,,,,,,,
1970,CHL,1.69447257971353,14.1746033324124,,,,,,9845344.0,,,,,,,,,,,,
1970,COL,6.20779696127698,13.2705169920463,,,,6.90862275848241,,20811782.0,,,,,,,,,,,,
1970,ECU,6.87192932488124,9.44122815724685,2.00283002853394,,,5.17127612015708,,6155387.0,,,,,,,,,,,,
1970,PER,3.36594600332614,17.4179498582572,,,,5.02523590072424,,13501237.0,,,,,,,,,,,,
1970,PRY,5.55342573311894,14.9170459550727,2.10519003868103,,,-0.859556021006909,,2388028.0,,,,,,,,,,,,
1970,URY,2.33321338074524,13.8867924528302,,,,16.3061449435998,,2790807.0,,,,,,,,,,,,
1970,VEN,7.71191438124382,23.2505526189332,4.16286993026733,,,,,11387790.0,,,,,,,,,,,,
1971,ARG,5.65813108184925,6.00723288128889,,,,,,24257208.0,,,,,,,,,,,,
1971,BOL,5.06333643861971,21.3890596189305,,,,3.67461430575032,,4694342.0,,,,,,,,,,,,
1971,BRA,11.3429219931908,6.45722050038782,,,,,,97739273.0,,,,,,,,,,,,
1971,CHL,9.57107393842624,10.716133229753,,,,20.0522312040536,,10009701.0,,,,,,,,,,,,
1971,COL,5.9607279462907,11.9664370116624,,,,11.9402616979216,,21319096.0,,,,,,,,,,,,
1971,ECU,6.29260619739669,10.5804061171855,1.87940001487732,,,9.52167078004847,,6340052.0,,,,,,,,,,,,
1971,PER,4.59053992759885,13.8397540584195,,,,6.79063936495415,,13838067.0,,,,,,,,,,,,
1971,PRY,5.538151942856,13.3753702111398,2.26543998718262,,,4.95325693640987,,2442537.0,,,,,,,,,,,,
1971,URY,-0.251711531030196,10.2844010341856,,,,23.9530889061731,,2806462.0,,,,,,,,,,,,
1971,VEN,1.47929120998992,25.2333700845277,4.1799201965332,,,,,11741008.0,,,,,,,,,,,,
1972,ARG,1.62841651825939,7.19776583908352,1.93620002269745,,,,,24644328.0,,,,,,,,,,,,
1972,BOL,7.967485209709,21.1124401913876,,,,6.5115440115437,,4800978.0,,,,,,,,,,,,
1972,BRA,11.9403481162508,7.27211396407972,,,,,,100146797.0,,,,,,,,,,,,
1972,CHL,-0.712365918422577,9.38247125248678,,,31.8448459789964,77.7957404755204,,10174678.0,,,,,,,,,,,,
1972,COL,7.66914754440097,13.2548229561108,,,,12.4444589907729,,21819563.0,,,,,,,,,,,,
1972,ECU,5.01764070581541,12.4079121734925,,,,7.52511790034726,,6529034.0,,,,,,,,,,,,
1972,PER,3.47753512310473,13.7498876167536,,,12.6535900162032,7.21972216770545,,14210147.0,,,,,,,,,,,,
1972,PRY,6.63129747573396,13.7669119392357,,,,9.18037497303685,,2499881.0,,,,,,,,,,,,
1972,URY,-1.31956986163931,15.4362416107383,,,24.9526759593874,76.4849237828812,,2821644.0,,,,,,,,,,,,
1972,VEN,1.28280503619396,23.2867223830119,4.83728981018066,,,,,12099180.0,,,,,,,,,,,,
1973,ARG,2.81175403849035,7.61266772119213,1.78051996231079,,,,,25046005.0,,,,,,,,,,,,
1973,BOL,5.73916152572542,27.7144666033555,,,,31.4860287891618,,4910200.0,,,,,,,,,,,,
1973,BRA,13.9687217796782,7.84487342902518,,,,,,102600976.0,,,,,,,,,,,,
1973,CHL,-5.03775611682208,12.9847521804698,,,25.9126676776096,352.810986573029,,10340362.0,,,,,,,,,,,,
1973,COL,6.72295496919133,14.9243296594835,,,,22.5296486781843,,22325374.0,,,,,,,,,,,,
1973,ECU,13.9506821300277,17.8780376822995,,,,12.1281464590342,,6722033.0,,,,,,,,,,,,
1973,PER,6.27693475562022,13.3257085992292,3.39172005653381,,13.1615259285544,9.48905109503398,,14582867.0,,,,,,,,,,,,
1973,PRY,7.30281290740682,14.9636869504213,,,,12.796894532602,,2561102.0,,,,,,,,,,,,
1973,URY,0.275199617416817,10.4178928781636,,,15.9211300765156,96.9972653187058,,2837133.0,,,,,,,,,,,,
1973,VEN,7.10995789495577,28.666129714824,,,,,,12463537.0,,,,,,,,,,,,
1974,ARG,5.5338043957736,6.9025707976099,1.92351996898651,,,,,25461351.0,,,,,,,,,,,,
1974,BOL,2.9395678082784,35.2924380145624,,,,62.8360756029239,,5022475.0,,,,,,,,,,,,
1974,BRA,8.15393868457201,7.67312781088189,,,,,,105089675.0,,,,,,,,,,,,
1974,CHL,1.2495800122858,19.0915586902565,3.75120997428894,,23.4956410236158,504.738541215978,,10505817.0,,,,,,,,,,,,
1974,COL,5.74575718912141,14.540113653283,,,,23.8709573656697,,22833469.0,,,,,,,,,,,,
1974,ECU,11.208509630308,22.6520505462625,,,,22.7040816226158,,6918573.0,,,,,,,,,,,,
1974,PER,9.38683491938303,14.1143064884239,,,11.7466816934577,16.8916666665703,,14956552.0,,,,,,,,,,,,
1974,PRY,8.38152543650033,15.508549730118,,,,25.2333177791075,,2625621.0,,,,,,,,,,,,
1974,URY,2.89534459834873,14.3820674917639,,,21.9259193304247,77.213413779201,,2853944.0,,,,,,,,,,,,
1974,VEN,2.06933320169284,42.9378797868739,3.94795989990234,,,,,12835351.0,,,,,,,,,,,,
1975,ARG,-0.0284121037110907,5.82405179865594,1.84360003471375,,,,,25874107.0,,,,,,,,,,,,
1975,BOL,7.31101773140009,25.9383183008438,,,,7.97674602546866,,5137539.0,,,,,,,,,,,,
1975,BRA,5.16664908406321,7.21800682637617,,,,,,107619565.0,,,,,,,,,,,,
1975,CHL,-12.2737621533613,23.5245398375081,3.59472990036011,,27.0326830601169,374.735274232635,,10671559.0,,,,,,,,,,,,
1975,COL,2.32325528115796,15.8172635445363,,,,23.4375025650554,,23344644.0,,,,,,,,,,,,
1975,ECU,10.9721540022298,16.0708936407758,,,,14.2896742946894,,7118251.0,,,,,,,,,,,,
1975,PER,4.30086316548426,10.5626215935701,,,13.6059371383913,23.6187352963326,,15333957.0,,,,,,,,,,,,
1975,PRY,6.85244471412953,13.2089540482779,,,,6.69306008366748,,2691648.0,,,,,,,,,,,,
1975,URY,6.09691431298931,16.7804323094425,,,22.5129566426495,81.4053840067419,,2872320.0,,,,,,,,,,,,
1975,VEN,2.89625778007156,32.8577113922336,5.19851016998291,,,,,13215892.0,,,,,,,,,,,,
1976,ARG,-2.01825151683394,9.17538829640174,1.16563999652863,,,,,26282283.0,,,,,,,,,,,,
1976,BOL,4.61456748598627,27.6766605081676,,,,4.49401164707216,,5256496.0,,,,,,,,,,,,
1976,BRA,10.2571295347867,7.01316307160746,,,,,,110213349.0,,,,,,,,,,,,
1976,CHL,3.60469484521828,23.521081168837,,,25.2156040705981,211.924302225904,,10838251.0,,,,,,,,,,,,
1976,COL,4.7283687345395,17.0462359328912,,,,19.8312249167931,,23858810.0,,,,,,,,,,,,
1976,ECU,7.39718761871015,16.0356359447623,,,,10.1746301165654,,7320912.0,,,,,,,,,,,,
1976,PER,1.44711099517411,11.72908337768,,,14.2309060948965,33.4832756634566,,15716809.0,,,,,,,,,,,,
1976,PRY,7.52594953142729,14.6602263756079,,,,4.47461474664498,,2758836.0,,,,,,,,,,,,
1976,URY,3.93547017536275,19.5594015259108,,,22.9299468243221,50.623049560462,,2891392.0,,,,,,,,,,,,
1976,VEN,7.72773984679836,29.7245825438181,,,,,,13606284.0,,,,,,,,,,,,
1977,ARG,6.93414775653342,9.61589241271337,1.71984004974365,,,,,26701805.0,,,,,,,,,,,,
1977,BOL,4.97121565700267,26.7741286136789,,,,8.10725552050415,,5379166.0,,,,,,,,,,,,
1977,BRA,4.93432806978961,7.24526115542366,,,,,,112875292.0,,,,,,,,,,,,
1977,CHL,11.1491944807539,19.30299696202,,,26.6254808945812,91.9541325565104,,11005519.0,,,,,,,,,,,,
1977,COL,4.15850545346419,16.8656576758763,,,,33.802818357982,,24393494.0,,,,,,,,,,,,
1977,ECU,1.6048421092884,16.3028768282836,2.41883993148804,,,12.9444138723701,,7526819.0,,,,,,,,,,,,
1977,PER,0.349063699303812,15.4747805945055,,,13.2224562005043,38.0540914196793,,16109806.0,,,,,,,,,,,,
1977,PRY,11.4940816019955,19.4539702289729,,,,9.35985291662838,,2827874.0,,,,,,,,,,,,
1977,URY,1.45546117847255,19.8964408065064,,,21.8206543058134,58.1961750215737,,2909461.0,,,,,,,,,,,,
1977,VEN,6.27078351298833,27.0967078982184,5.25665998458862,,,,,14006812.0,,,,,,,,,,,,
1978,ARG,-4.50612480201359,8.60838993811478,1.93554997444153,,,,,27132158.0,,,,,,,,,,,,
1978,BOL,2.05269456633279,22.595143746177,,,,10.3556722757191,,5504123.0,,,,,,,,,,,,
1978,BRA,4.96989768924738,6.69298607932397,,,,,,115600942.0,,,,,,,,,,,,
1978,CHL,8.02682491365691,19.3577462434404,3.07045006752014,,26.3320411036236,40.0872246313854,,11172695.0,,,,,,,,,,,,
1978,COL,8.4699008376688,16.6259660665848,,,,17.7631590853462,,24950337.0,,,,,,,,,,,,
1978,ECU,5.70682494541619,14.7319827064124,,,,13.098138583854,,7736167.0,,,,,,,,,,,,
1978,PER,-2.64250297882154,20.1828888617999,,,15.6674779142856,57.8487826251505,,16516059.0,,,,,,,,,,,,
1978,PRY,12.0287299461216,18.420236744362,,,,10.6602475929181,,2899269.0,,,,,,,,,,,,
1978,URY,5.37398534767648,18.8469744151528,,,21.4700383079581,44.5483436672392,,2925715.0,,,,,,,,,,,,
1978,VEN,2.34689637191244,24.097775937537,,,,,,14416684.0,,,,,,,,,,,,
1979,ARG,10.2227634638681,6.5109154667574,2.4002799987793,,,,,27568895.0,,,,,,,,,,,,
1979,BOL,0.133344047803647,24.1747034696819,,,,19.7197167787999,,5630849.0,,,,,,,,,,,,
1979,BRA,6.7595601220408,7.24078004876568,,,,,,118380821.0,,,,,,,,,,,,
1979,CHL,8.43582175738598,21.6869463205334,3.48236989974976,,23.6525965818596,33.3892190102252,,11339779.0,,,,,,,,,,,,
1979,COL,5.37911898820207,15.2164715006599,1.75434005260468,,,24.1340757440455,,25515626.0,,,,,,,,,,,,
1979,ECU,3.73404840305636,17.908078493992,,,,10.1171908690016,,7948869.0,,,,,,,,,,,,
1979,PER,4.09075057410003,27.005023253703,,,13.332707079904,66.6944229664876,,16933139.0,,,,,,,,,,,,
1979,PRY,11.862146971295,16.0582466539996,,,,28.1610386024436,,2973968.0,,,,,,,,,,,,
1979,URY,6.1991167323612,16.8331008998286,1.98713004589081,,18.1404727431003,66.8442861850437,,2939903.0,,,,,,,,,,,,
1979,VEN,0.76435514542564,29.9058906213145,,,,,,14834552.0,,,,,,,,,,,,
1980,ARG,1.51878394990179,5.06197268111518,2.60715007781982,,,,,28011596.0,5.7,0.0,,0.0,,,,,,,,
1980,BOL,-1.37177291052775,24.5274539587809,,,,47.2416501018426,,5758900.0,,,,,,,,,,,,
1980,BRA,9.19999999999976,8.96239487326747,,,,,,121207461.0,,,,,,,,,,,,
1980,CHL,8.17228334347537,21.2684484447529,4.21999979019165,,23.7589617793258,35.1383405330485,,11508550.0,,,,,,,,,,,,
1980,COL,4.08735367550767,16.217980786889,1.72912001609802,,,26.5526531495356,,26104498.0,60.63,20.94,,37.06,,,,,,,,
1980,ECU,3.70868296743329,17.1480264889783,,,,11.9092893836134,,8165877.0,,,,,,,,,,,,
1980,PER,5.94333539830841,25.5205221140736,,,18.7634055633016,59.1450712444914,,17360949.0,,,,,,,,,,,,
1980,PRY,11.712145943448,13.8456158256001,,,,22.4473301362177,,3053235.0,,,,,,,,,,,,
1980,URY,5.84340090113461,15.032970370049,2.15950989723206,,20.182421586916,63.4758304314673,,2951953.0,,,,,,,,,,,,
1980,VEN,-4.42132236441776,32.6241438861373,4.40072011947632,,,,,15258218.0,,,,,,,,,,,,
1981,ARG,-5.18978914135593,6.92104948030999,,,,,,28463959.0,,,,,,,,,,,,
1981,BOL,0.27561637277573,23.2663260926749,,,,32.1336011133424,,5888109.0,,,,,,,,,,,,
1981,BRA,-4.24999999999956,9.62284037096842,,,,101.725072957927,,124063109.0,66.98,23.95,,42.87,,,,,,,,
1981,CHL,6.71863895635887,15.2466633451147,4.91429996490479,,24.9673373962757,19.6868327084319,,11678717.0,,,,,,,,,,,,
1981,COL,2.27687274512178,11.8512305745539,2.59723997116089,,,27.4537624347993,,26713267.0,,,,,,,,,,,,
1981,ECU,5.61286412023385,14.6178458363348,,,,14.0479686718868,,8386910.0,,,,,,,,,,,,
1981,PER,5.55204181484046,18.561803025361,,,17.3914359518703,75.4332687576064,,17798805.0,,,,,,,,,,,,
1981,PRY,9.17045884942912,11.1624421996108,,,,12.9746974698193,,3137604.0,,,,,,,,,,,,
1981,URY,1.55955982937495,15.2041124379445,,,23.7697906883134,34.0453358609474,,2963246.0,17.27,0.0,,4.17,,,,,,,,
1981,VEN,-0.362810903072699,30.5023701999944,5.18743991851807,,,,,15687297.0,38.87,6.68,,18.56,,,,,,,,
1982,ARG,-0.735659159103619,9.09049307859513,1.59786999225616,,,,,28924262.0,,,,,,,,,,,,
1982,BOL,-3.93873792499608,29.0643788798214,,,,123.535718565329,,6018088.0,,,,,,,,,,,,
1982,BRA,0.829999999999529,7.90048452532258,,,,100.54335919485,,126923155.0,66.4,24.4,,43.0,,,,,,,,
1982,CHL,-11.5020620535762,18.4422561478579,,,30.4467834585012,9.94102693041832,,11850214.0,,,,,,,,,,,,
1982,COL,0.948420786604515,10.9128345916266,,,,24.7209882528585,,27338331.0,,,,,,,,,,,,
1982,ECU,0.614845351988635,14.6564911171017,,,,16.2844880461285,,8611298.0,,,,,,,,,,,,
1982,PER,-0.2227234441863,18.8184767340648,,,16.4373901986816,64.4481585387929,,18246503.0,,,,,,,,,,,,
1982,PRY,-1.39761771803515,12.1378758276349,,,,5.12006543713188,,3226189.0,,,,,,,,,,,,
1982,URY,-9.75787146088504,14.3258672173782,,,27.7854017916476,18.9925012952182,,2975492.0,,,,,,,,,,,,
